บท,คำถาม,ตัวเลือก ก,ข,ค,ง,เฉลย(1-4),คำอธิบาย
c1b3,สาเหตุที่โลหะนำความร้อนได้ดีคือข้อใด?,อิเล็กตรอนอิสระถ่ายโอนพลังงานความร้อนได้รวดเร็ว,มีไอออนเคลื่อนที่,เป็นสารโคเวเลนต์,มีพันธะไฮโดรเจน,1,อิเล็กตรอนอิสระในทะเลอิเล็กตรอนเคลื่อนที่ถ่ายโอนพลังงานความร้อนได้รวดเร็ว โลหะจึงนำความร้อนได้ดี
c1b3,เมื่อเปรียบเทียบความยาวพันธะ พันธะ C-O เดี่ยวกับ C=O คู่ พันธะใดสั้นกว่า?,C-O เดี่ยว,C=O คู่,ยาวเท่ากัน,ขึ้นกับอุณหภูมิ,2,พันธะคู่ C=O มีจำนวนพันธะมากกว่า แรงดึงดูดมากกว่า จึงสั้นกว่าและแข็งแรงกว่าพันธะเดี่ยว C-O
c2b4,"NaCl 1 โมล มีมวลกี่กรัม? (Na=23, Cl=35.5)",46.5 g,58.5 g,71 g,35.5 g,2,มวลโมล NaCl = 23 + 35.5 = 58.5 g/mol
c2b4,น้ำ (H₂O) 0.5 โมล มีกี่โมเลกุล?,1.20×10²⁴,6.02×10²³,3.01×10²³,1.50×10²³,3,จำนวนโมเลกุล = 0.5 × 6.02×10²³ = 3.01×10²³
c2b4,แก๊ส O₂ 3 โมล ที่ STP มีปริมาตรเท่าใด?,22.4 L,44.8 L,67.2 L,89.6 L,3,ปริมาตร = 3 × 22.4 = 67.2 L
c2b4,ร้อยละโดยมวลของไฮโดรเจนในน้ำ (H₂O) ประมาณเท่าใด?,5.6%,11.1%,50%,88.9%,2,%H = (2 ÷ 18) × 100 ≈ 11.1% (ส่วน O ≈ 88.9%)
c2b4,CO₂ 1 โมล มีอะตอมออกซิเจนกี่อะตอม?,6.02×10²³,1.204×10²⁴,2.0,3.01×10²³,2,CO₂ 1 โมล มี O 2 โมล = 2 × 6.02×10²³ = 1.204×10²⁴ อะตอม
c2b4,สาร 1 โมล มีจำนวนอนุภาคเท่ากับเท่าใด?,3.01×10²³,6.02×10²³,1.20×10²⁴,6.02×10²⁴,2,เลขอาโวกาโดร = 6.02×10²³ อนุภาคต่อโมล
c2b4,"น้ำ (H₂O, M=18) จำนวน 2 โมล มีมวลกี่กรัม?",18 g,20 g,36 g,44 g,3,มวล = โมล × มวลโมเลกุล = 2 × 18 = 36 g
c2b4,CO₂ (M=44) มวล 88 กรัม คิดเป็นกี่โมล?,1 โมล,2 โมล,3 โมล,4 โมล,2,โมล = มวล/M = 88/44 = 2 โมล
c2b4,สูตรอย่างง่าย (empirical) ของกลูโคส C₆H₁₂O₆ คือข้อใด?,CHO,CH₂O,C₂H₄O₂,C₃H₆O₃,2,หารอัตราส่วน 6:12:6 ด้วย 6 ได้ 1:2:1 → CH₂O
c2b4,แก๊ส 1 โมล ที่ STP มีปริมาตรเท่าใด?,11.2 L,22.4 L,24.0 L,44.8 L,2,"ที่ STP (0°C, 1 atm) แก๊สอุดมคติ 1 โมล มีปริมาตร 22.4 ลิตร"
c2b4,มวลอะตอมเฉลี่ยของธาตุคำนวณจากสิ่งใด?,มวลของไอโซโทปที่เบาที่สุด,ค่าเฉลี่ยถ่วงน้ำหนักตามปริมาณของไอโซโทปแต่ละชนิด,ผลรวมมวลไอโซโทปทั้งหมด,จำนวนโปรตอน,2,มวลอะตอมเฉลี่ยเป็นค่าเฉลี่ยถ่วงน้ำหนักของมวลไอโซโทปแต่ละชนิดตามสัดส่วนที่พบในธรรมชาติ
c2b4,แก๊สมีเทน CH₄ (M = 16) มวล 32 กรัม คิดเป็นกี่โมล?,1 โมล,2 โมล,3 โมล,0.5 โมล,2,โมล = มวล/มวลโมลาร์ = 32/16 = 2 โมล
c2b4,"มวลโมเลกุลของกรดซัลฟิวริก H₂SO₄ มีค่าเท่าใด? (H=1, S=32, O=16)",82,98,100,114,2,M = 2(1) + 32 + 4(16) = 2 + 32 + 64 = 98 g/mol
c2b4,สารประกอบมีสูตรอย่างง่าย CH₂O (มวล 30) และมีมวลโมเลกุล 180 สูตรโมเลกุลคือข้อใด?,CH₂O,C₃H₆O₃,C₆H₁₂O₆,C₂H₄O₂,3,180 ÷ 30 = 6 จึงคูณสูตรอย่างง่ายด้วย 6 ได้ C₆H₁₂O₆ (กลูโคส)
c2b4,ร้อยละโดยมวลของไนโตรเจนในแอมโมเนีย NH₃ (M = 17) ประมาณเท่าใด?,14%,82%,50%,17%,2,%N = (14 ÷ 17) × 100 ≈ 82.4%
c2b4,แก๊ส CO₂ ปริมาตร 11.2 ลิตรที่ STP คิดเป็นกี่โมล?,0.25 โมล,0.5 โมล,1 โมล,2 โมล,2,ที่ STP 1 โมล = 22.4 L ดังนั้น 11.2/22.4 = 0.5 โมล
c2b4,โซเดียม (Na = 23) จำนวน 0.5 โมล มีมวลกี่กรัม?,11.5 g,23 g,46 g,5.75 g,1,มวล = โมล × มวลโมลาร์ = 0.5 × 23 = 11.5 g
c2b4,น้ำ (H₂O) 1 โมล ประกอบด้วยอะตอมทั้งหมดกี่โมล?,1 โมล,2 โมล,3 โมล,18 โมล,3,H₂O 1 โมล มี H 2 โมล และ O 1 โมล รวมเป็นอะตอม 3 โมล
c2b4,หน่วยมวลอะตอม (amu หรือ u) 1 หน่วยถูกนิยามจากสิ่งใด?,1/12 ของมวลอะตอมคาร์บอน-12,มวลของโปรตอน 1 ตัวพอดี,มวลของไฮโดรเจน 1 อะตอม,1/16 ของมวลออกซิเจน,1,1 amu นิยามเป็น 1/12 ของมวลอะตอมคาร์บอน-12 ซึ่งใกล้เคียงมวลโปรตอนหรือนิวตรอน 1 ตัว
c2b4,"สารประกอบหนึ่งมีองค์ประกอบโดยมวล C 40%, H 6.7%, O 53.3% สูตรอย่างง่ายคือข้อใด? (C=12, H=1, O=16)",CHO,CH₂O,C₂H₄O,CH₄O,2,อัตราส่วนโมล = 40/12 : 6.7/1 : 53.3/16 ≈ 3.33 : 6.7 : 3.33 = 1 : 2 : 1 → CH₂O
c2b4,แก๊สสองชนิดที่มีมวลเท่ากันแต่มวลโมเลกุลต่างกัน จะมีจำนวนโมลเป็นอย่างไร?,เท่ากันเสมอ,ต่างกัน โดยแก๊สที่มวลโมเลกุลน้อยกว่ามีจำนวนโมลมากกว่า,แก๊สมวลโมเลกุลมากมีโมลมากกว่า,ไม่สามารถบอกได้,2,โมล = มวล/มวลโมลาร์ เมื่อมวลเท่ากัน แก๊สที่มวลโมเลกุลน้อยกว่าจะมีจำนวนโมล (และจำนวนโมเลกุล) มากกว่า
c2b4,จำนวนอะตอมไฮโดรเจนในแอมโมเนีย NH₃ จำนวน 2 โมล มีค่าเท่าใด?,6.02×10²³,1.204×10²⁴,3.612×10²⁴,6.02×10²⁴,3,NH₃ 2 โมล มี H = 2 × 3 = 6 โมล = 6 × 6.02×10²³ = 3.612×10²⁴ อะตอม
c2b5,ละลายกลูโคส 0.5 โมล ในน้ำจนได้สารละลาย 250 mL ความเข้มข้นกี่โมลาร์?,0.5 M,1 M,2 M,4 M,3,M = 0.5 mol ÷ 0.25 L = 2 M
c2b5,ต้องใช้ NaCl กี่โมลในการเตรียมสารละลาย NaCl 1 M ปริมาตร 2 ลิตร?,0.5 โมล,1 โมล,2 โมล,4 โมล,3,โมล = M × V = 1 × 2 = 2 โมล
c2b5,โมแลลิตี (molality) คิดจำนวนโมลตัวถูกละลายต่อปริมาณใด?,ปริมาตรสารละลาย (L),มวลตัวทำละลาย (kg),ปริมาตรตัวทำละลาย (L),มวลสารละลาย (kg),2,โมแลลิตี = โมลตัวถูกละลาย ต่อ มวลตัวทำละลายเป็นกิโลกรัม
c2b5,การละลายของของแข็งส่วนใหญ่ในน้ำเปลี่ยนแปลงอย่างไรเมื่ออุณหภูมิสูงขึ้น?,ละลายได้น้อยลง,ละลายได้มากขึ้น,ไม่เปลี่ยน,หยุดละลาย,2,ของแข็งส่วนใหญ่ละลายได้มากขึ้นเมื่ออุณหภูมิสูงขึ้น (ต่างจากแก๊สที่ละลายน้อยลง)
c2b5,สารละลายอิ่มตัวคือสารละลายที่มีลักษณะใด?,ละลายตัวถูกละลายได้อีกมาก,ละลายตัวถูกละลายได้มากที่สุดที่อุณหภูมินั้น,ไม่มีตัวถูกละลาย,เป็นของแข็ง,2,สารละลายอิ่มตัวละลายตัวถูกละลายได้มากที่สุดแล้วที่อุณหภูมินั้น เติมอีกจะตกตะกอน
c2b5,สารละลายเข้มข้น 1 โมลาร์ (1 M) หมายความว่าอย่างไร?,ตัวถูกละลาย 1 โมลต่อน้ำ 1 กิโลกรัม,ตัวถูกละลาย 1 โมลต่อสารละลาย 1 ลิตร,ตัวถูกละลาย 1 กรัมต่อ 1 ลิตร,น้ำ 1 ลิตรต่อตัวถูกละลาย 1 โมล,2,โมลาริตี (M) = จำนวนโมลตัวถูกละลาย ต่อ ปริมาตรสารละลาย 1 ลิตร
c2b5,ละลาย NaOH (M=40) 20 กรัม ในน้ำจนได้สารละลาย 0.5 ลิตร ความเข้มข้นกี่โมลาร์?,0.5 M,1 M,2 M,4 M,2,โมล = 20/40 = 0.5 mol; M = 0.5 mol / 0.5 L = 1 M
c2b5,เจือจางสารละลาย 2 M ปริมาตร 50 mL ให้เป็น 200 mL จะได้ความเข้มข้นเท่าใด?,0.5 M,1 M,2 M,8 M,1,M₁V₁ = M₂V₂ → 2×50 = M₂×200 → M₂ = 0.5 M
c2b5,หน่วย ppm (part per million) หมายถึงอะไร?,ส่วนในร้อยส่วน,ส่วนในพันส่วน,ส่วนในล้านส่วน,ส่วนในพันล้านส่วน,3,ppm = ส่วนในล้านส่วน เช่น 1 mg ต่อสารละลาย 1 ลิตร (≈1 kg)
c2b5,ในน้ำเชื่อม (น้ำตาลละลายในน้ำ) ตัวทำละลายคือสารใด?,น้ำตาล,น้ำ,อากาศ,ทั้งสองอย่างเท่ากัน,2,ตัวทำละลายคือสารที่มีปริมาณมากกว่าและเป็นตัวกลาง = น้ำ ส่วนน้ำตาลคือตัวถูกละลาย
c2b5,ร้อยละโดยมวล (% by mass) ของสารละลายคำนวณจากข้อใด?,(มวลตัวถูกละลาย ÷ มวลสารละลาย) × 100,(มวลตัวถูกละลาย ÷ มวลตัวทำละลาย) × 100,(มวลตัวทำละลาย ÷ มวลสารละลาย) × 100,มวลตัวถูกละลาย × 100,1,%โดยมวล = (มวลตัวถูกละลาย ÷ มวลสารละลายทั้งหมด) × 100
c2b5,ต้องใช้ NaCl กี่โมลในการเตรียมสารละลาย NaCl 0.5 M ปริมาตร 500 mL?,0.10 โมล,0.25 โมล,0.50 โมล,1.0 โมล,2,โมล = M × V = 0.5 × 0.5 L = 0.25 โมล
c2b5,การละลายของแก๊สในน้ำเปลี่ยนแปลงอย่างไรเมื่ออุณหภูมิสูงขึ้น?,ละลายได้มากขึ้น,ละลายได้น้อยลง,ไม่เปลี่ยนแปลง,เพิ่มเป็นสองเท่า,2,แก๊สละลายในน้ำได้น้อยลงเมื่ออุณหภูมิสูงขึ้น (ต่างจากของแข็งส่วนใหญ่ที่ละลายมากขึ้น) เช่น น้ำอุ่นมีออกซิเจนละลายน้อยกว่า
c2b5,ตามกฎของเฮนรี การละลายของแก๊สในของเหลวเปลี่ยนอย่างไรเมื่อเพิ่มความดันแก๊สเหนือของเหลว?,ละลายได้มากขึ้น,ละลายได้น้อยลง,ไม่เปลี่ยนแปลง,แก๊สระเหยออกหมด,1,ตามกฎของเฮนรี การละลายของแก๊สแปรผันตรงกับความดันย่อยของแก๊ส เพิ่มความดันจึงละลายได้มากขึ้น เช่น น้ำอัดลม
c2b5,การเติมตัวถูกละลายที่ไม่ระเหยลงในน้ำส่งผลต่อจุดเดือดของสารละลายอย่างไร?,ลดลง,สูงขึ้น,ไม่เปลี่ยน,กลายเป็นศูนย์,2,ตัวถูกละลายที่ไม่ระเหยทำให้จุดเดือดของสารละลายสูงขึ้น (boiling point elevation) เป็นสมบัติคอลลิเกทีฟ
c2b5,การโรยเกลือบนถนนที่มีหิมะเพื่อให้หิมะละลายอาศัยสมบัติคอลลิเกทีฟใด?,จุดเดือดสูงขึ้น,จุดเยือกแข็งต่ำลง,ความดันไอเพิ่มขึ้น,ความหนาแน่นลดลง,2,การเติมตัวถูกละลายทำให้จุดเยือกแข็งของสารละลายต่ำลง (freezing point depression) หิมะจึงละลายที่อุณหภูมิต่ำกว่า 0°C
c2b5,โมแลลิตี (molality) ต่างจากโมลาริตี (molarity) อย่างไร?,โมแลลิตีคิดต่อมวลตัวทำละลาย (kg) ส่วนโมลาริตีคิดต่อปริมาตรสารละลาย (L),ทั้งสองเหมือนกัน,โมแลลิตีคิดต่อปริมาตร,โมลาริตีคิดต่อมวล,1,โมแลลิตี = โมลตัวถูกละลายต่อมวลตัวทำละลาย (kg) จึงไม่ขึ้นกับอุณหภูมิ ส่วนโมลาริตีคิดต่อปริมาตรสารละลาย (L)
c2b5,สารใดเป็นอิเล็กโทรไลต์ที่ทำให้สารละลายนำไฟฟ้าได้?,น้ำตาลทราย,เอทานอล,โซเดียมคลอไรด์ (NaCl),กลีเซอรอล,3,NaCl แตกตัวเป็นไอออน Na⁺ และ Cl⁻ ในน้ำ จึงนำไฟฟ้าได้ ส่วนน้ำตาลและเอทานอลละลายแบบไม่แตกตัว ไม่นำไฟฟ้า
c2b5,การเจือจางสารละลายด้วยน้ำส่งผลต่อจำนวนโมลของตัวถูกละลายอย่างไร?,เพิ่มขึ้น,ลดลง,คงที่,เป็นศูนย์,3,การเจือจางเพิ่มเฉพาะปริมาตร จำนวนโมลตัวถูกละลายคงที่ ความเข้มข้นจึงลดลง (M₁V₁ = M₂V₂)
c2b5,ในสารละลายแอลกอฮอล์เข้มข้น 70% (เอทานอลในน้ำ) ตัวทำละลายคือสารใดเมื่อเอทานอลมีปริมาณมากกว่า?,น้ำ,เอทานอล,ทั้งสองเท่ากัน,อากาศ,2,ตัวทำละลายคือองค์ประกอบที่มีปริมาณมากกว่า เมื่อเอทานอลมากกว่าน้ำ เอทานอลจึงเป็นตัวทำละลาย
c2b5,หน่วยความเข้มข้น 1 ppm เทียบเท่ากับข้อใดโดยประมาณ (สารละลายเจือจางในน้ำ)?,1 กรัมต่อสารละลาย 1 ลิตร,1 มิลลิกรัมต่อสารละลาย 1 ลิตร,1 โมลต่อ 1 ลิตร,1 กรัมต่อ 1 มิลลิลิตร,2,1 ppm = 1 ส่วนในล้านส่วน ≈ 1 มิลลิกรัมต่อสารละลาย 1 ลิตร (น้ำ 1 L ≈ 1 kg = 10⁶ mg)
c2b5,สารละลายอิ่มตัวยวดยิ่ง (supersaturated) มีลักษณะอย่างไร?,ละลายตัวถูกละลายน้อยกว่าจุดอิ่มตัว,มีตัวถูกละลายมากกว่าที่ควรละลายได้ที่อุณหภูมินั้น อยู่ในสภาพไม่เสถียร,ไม่มีตัวถูกละลาย,เป็นของแข็งทั้งหมด,2,สารละลายอิ่มตัวยวดยิ่งมีตัวถูกละลายมากกว่าจุดอิ่มตัวปกติ อยู่ในสภาพไม่เสถียร เมื่อรบกวนเล็กน้อยจะตกผลึกออกมาทันที
c2b6,ดุลสมการ Al + O₂ → Al₂O₃ ได้สัมประสิทธิ์ตามลำดับข้อใด?,"2, 3, 1","4, 3, 2","2, 1, 1","4, 6, 2",2,"4Al + 3O₂ → 2Al₂O₃ : Al = 4, O = 6 ทั้งสองข้าง"
c2b6,CaCO₃ → CaO + CO₂ ถ้าใช้ CaCO₃ 2 โมล จะได้ CO₂ กี่โมล?,1 โมล,2 โมล,3 โมล,4 โมล,2,อัตราส่วน CaCO₃ : CO₂ = 1 : 1 → 2 โมล ได้ CO₂ 2 โมล
c2b6,กฎทรงมวล (law of conservation of mass) กล่าวว่าอย่างไร?,มวลสารตั้งต้นมากกว่าผลิตภัณฑ์,มวลสารตั้งต้น = มวลผลิตภัณฑ์,มวลหายไปบางส่วน,มวลเพิ่มขึ้นเสมอ,2,มวลรวมของสารตั้งต้นเท่ากับมวลรวมของผลิตภัณฑ์ (สสารไม่สูญหาย)
c2b6,2H₂ + O₂ → 2H₂O ถ้าใช้ H₂ 4 โมล (O₂ พอ) จะได้น้ำกี่โมล?,2 โมล,4 โมล,6 โมล,8 โมล,2,อัตราส่วน H₂ : H₂O = 2 : 2 = 1 : 1 → 4 โมล H₂ ได้น้ำ 4 โมล
c2b6,สารที่เหลือหลังปฏิกิริยาสิ้นสุด (ไม่ทำปฏิกิริยาหมด) เรียกว่าอะไร?,สารกำหนดปริมาณ,สารมากเกินพอ,ตัวเร่งปฏิกิริยา,ผลิตภัณฑ์,2,สารมากเกินพอ (excess reagent) คือสารที่ยังเหลือเมื่อสารกำหนดปริมาณหมดแล้ว
c2b6,ดุลสมการ H₂ + O₂ → H₂O ได้สัมประสิทธิ์ตามลำดับข้อใด?,"1, 1, 1","2, 1, 2","2, 2, 1","1, 2, 2",2,"2H₂ + O₂ → 2H₂O : H = 4 ทั้งสองข้าง, O = 2 ทั้งสองข้าง"
c2b6,จากปฏิกิริยา N₂ + 3H₂ → 2NH₃ ถ้าใช้ N₂ 2 โมล จะได้ NH₃ กี่โมล?,2 โมล,3 โมล,4 โมล,6 โมล,3,อัตราส่วน N₂:NH₃ = 1:2 → 2 โมล N₂ ได้ 4 โมล NH₃
c2b6,สารกำหนดปริมาณ (limiting reagent) คือสารใด?,สารที่มีมากที่สุด,สารที่หมดก่อนและกำหนดปริมาณผลิตภัณฑ์,สารที่เหลือ,ตัวเร่งปฏิกิริยา,2,สารกำหนดปริมาณคือสารที่ทำปฏิกิริยาหมดก่อน จึงเป็นตัวจำกัดปริมาณผลิตภัณฑ์
c2b6,เผาคาร์บอน (C) 1 โมล กับ O₂ จนหมด ได้ CO₂ กี่โมล? (C + O₂ → CO₂),0.5 โมล,1 โมล,2 โมล,12 โมล,2,อัตราส่วน C:CO₂ = 1:1 → 1 โมล C ได้ CO₂ 1 โมล (44 กรัม)
c2b6,ผลได้ร้อยละ (% yield) คำนวณจากข้อใด?,(ผลได้ตามทฤษฎี/ผลได้จริง)×100,(ผลได้จริง/ผลได้ตามทฤษฎี)×100,ผลได้จริง − ผลได้ตามทฤษฎี,ผลได้จริง × ผลได้ตามทฤษฎี,2,% yield = (ผลได้จริง ÷ ผลได้ตามทฤษฎี) × 100
c2b6,ดุลสมการ N₂ + H₂ → NH₃ ได้สัมประสิทธิ์ตามลำดับข้อใด?,"1, 1, 1","1, 3, 2","2, 3, 1","1, 2, 2",2,"N₂ + 3H₂ → 2NH₃ : N = 2, H = 6 เท่ากันทั้งสองข้าง"
c2b6,ดุลสมการการเผาไหม้มีเทน CH₄ + O₂ → CO₂ + H₂O ได้สัมประสิทธิ์ตามลำดับข้อใด?,"1, 2, 1, 2","1, 1, 1, 1","2, 2, 1, 2","1, 2, 1, 1",1,"CH₄ + 2O₂ → CO₂ + 2H₂O : C = 1, H = 4, O = 4 เท่ากันทั้งสองข้าง"
c2b6,ดุลสมการ Fe + O₂ → Fe₂O₃ ได้สัมประสิทธิ์ตามลำดับข้อใด?,"2, 3, 1","4, 3, 2","2, 1, 1","3, 2, 1",2,"4Fe + 3O₂ → 2Fe₂O₃ : Fe = 4, O = 6 เท่ากันทั้งสองข้าง"
c2b6,จากปฏิกิริยา 2H₂ + O₂ → 2H₂O ถ้าใช้ H₂ 2 โมล ต้องใช้ O₂ พอดีกี่โมล?,0.5 โมล,1 โมล,2 โมล,4 โมล,2,อัตราส่วน H₂ : O₂ = 2 : 1 ดังนั้น H₂ 2 โมล ต้องใช้ O₂ 1 โมล
c2b6,CaCO₃ (M = 100) มวล 50 กรัม สลายตัวสมบูรณ์ (CaCO₃ → CaO + CO₂) ได้ CO₂ กี่โมล?,0.25 โมล,0.5 โมล,1 โมล,2 โมล,2,โมล CaCO₃ = 50/100 = 0.5 โมล อัตราส่วน CaCO₃ : CO₂ = 1 : 1 จึงได้ CO₂ 0.5 โมล
c2b6,ปฏิกิริยา N₂ + 3H₂ → 2NH₃ เริ่มด้วย N₂ 2 โมล และ H₂ 3 โมล สารใดเป็นสารกำหนดปริมาณ?,N₂,H₂,ทั้งสองหมดพอดี,NH₃,2,N₂ 2 โมลต้องใช้ H₂ 6 โมล แต่มี H₂ เพียง 3 โมล H₂ จึงหมดก่อนเป็นสารกำหนดปริมาณ (ได้ NH₃ 2 โมล)
c2b6,กฎสัดส่วนคงที่ (law of definite proportions) กล่าวว่าอย่างไร?,สารประกอบหนึ่ง ๆ มีอัตราส่วนโดยมวลของธาตุองค์ประกอบคงที่เสมอ,มวลรวมก่อนและหลังปฏิกิริยาเท่ากัน,ธาตุรวมกันได้หลายอัตราส่วน,พลังงานคงที่,1,กฎสัดส่วนคงที่: สารประกอบบริสุทธิ์ชนิดเดียวกันมีอัตราส่วนโดยมวลของธาตุองค์ประกอบคงที่เสมอ เช่น น้ำมี H:O = 1:8 โดยมวลเสมอ
c2b6,ถ้าผลได้ตามทฤษฎีของปฏิกิริยาคือ 10 กรัม แต่ได้ผลิตภัณฑ์จริง 8 กรัม ผลได้ร้อยละเท่าใด?,80%,125%,8%,18%,1,% yield = (ผลได้จริง ÷ ผลได้ตามทฤษฎี) × 100 = (8/10) × 100 = 80%
c2b6,เหตุใดผลได้จริงของปฏิกิริยามักน้อยกว่าผลได้ตามทฤษฎี?,มวลเพิ่มขึ้นเอง,ปฏิกิริยาอาจเกิดไม่สมบูรณ์ มีปฏิกิริยาข้างเคียง หรือสูญเสียระหว่างแยกสาร,ทฤษฎีคำนวณผิดเสมอ,สารตั้งต้นมากเกินไป,2,ผลได้จริงมักต่ำกว่าทฤษฎีเพราะปฏิกิริยาเกิดไม่สมบูรณ์ มีปฏิกิริยาข้างเคียง หรือสูญเสียผลิตภัณฑ์ระหว่างการแยก/ทำให้บริสุทธิ์
c2b6,ไฮโดรเจนเปอร์ออกไซด์สลายตัวตามสมการ 2H₂O₂ → 2H₂O + O₂ ถ้าใช้ H₂O₂ 4 โมล จะได้ O₂ กี่โมล?,1 โมล,2 โมล,4 โมล,8 โมล,2,อัตราส่วน H₂O₂ : O₂ = 2 : 1 ดังนั้น 4 โมล H₂O₂ ได้ O₂ 2 โมล
c2b6,วิชาปริมาณสัมพันธ์ (stoichiometry) ศึกษาเกี่ยวกับสิ่งใด?,ความสัมพันธ์เชิงปริมาณของสารตั้งต้นและผลิตภัณฑ์ในปฏิกิริยาเคมี,รูปร่างของโมเลกุล,สีของสารเคมี,ชนิดของพันธะ,1,ปริมาณสัมพันธ์ศึกษาความสัมพันธ์เชิงปริมาณ (โมล มวล ปริมาตร) ระหว่างสารตั้งต้นและผลิตภัณฑ์ตามสมการเคมีที่ดุลแล้ว
c2b6,สัมประสิทธิ์หน้าสารในสมการเคมีที่ดุลแล้วบอกถึงสิ่งใด?,มวลของสารเป็นกรัม,อัตราส่วนจำนวนโมล (หรือจำนวนอนุภาค) ของสารที่ทำปฏิกิริยา,จำนวนอะตอมในโมเลกุล,ความเข้มข้น,2,สัมประสิทธิ์ในสมการที่ดุลแล้วบอกอัตราส่วนจำนวนโมล (โมลริโอ) ของสารตั้งต้นและผลิตภัณฑ์
c3b7,ความดัน 1 atm มีค่าเท่ากับกี่มิลลิเมตรปรอท (mmHg)?,100,273,760,1000,3,1 atm = 760 mmHg = 101.325 kPa
c3b7,ตามกฎของอาโวกาโดร แก๊สที่ปริมาตรเท่ากันที่ T และ P เดียวกันมีสิ่งใดเท่ากัน?,มวล,จำนวนโมเลกุล,ความหนาแน่น,ชนิดของแก๊ส,2,"ปริมาตรเท่ากันที่ T,P เดียวกัน มีจำนวนโมเลกุล (จำนวนโมล) เท่ากัน"
c3b7,ค่าคงที่ของแก๊ส R ในหน่วย L·atm มีค่าประมาณเท่าใด?,0.0821,8.314,22.4,760,1,R = 0.0821 L·atm/(mol·K) ใช้กับ PV = nRT เมื่อ P เป็น atm และ V เป็นลิตร
c3b7,เพิ่มจำนวนโมลแก๊สที่อุณหภูมิและความดันคงที่ ปริมาตรจะเป็นอย่างไร?,เพิ่มขึ้น,ลดลง,คงที่,เป็นศูนย์,1,"V ∝ n (ที่ T,P คงที่) จำนวนโมลเพิ่ม ปริมาตรเพิ่มเป็นสัดส่วนตรง"
c3b7,แก๊สจริงประพฤติตัวใกล้เคียงแก๊สอุดมคติมากที่สุดในสภาวะใด?,อุณหภูมิต่ำ ความดันสูง,อุณหภูมิสูง ความดันต่ำ,อุณหภูมิต่ำ ความดันต่ำ,อุณหภูมิสูง ความดันสูง,2,ที่อุณหภูมิสูงและความดันต่ำ แรงระหว่างโมเลกุลและปริมาตรโมเลกุลน้อยลง จึงใกล้แก๊สอุดมคติ
c3b7,ตามกฎของบอยล์ ที่อุณหภูมิคงที่ ความดันกับปริมาตรของแก๊สมีความสัมพันธ์อย่างไร?,แปรผันตรง,แปรผกผัน,ไม่สัมพันธ์กัน,เท่ากันเสมอ,2,กฎของบอยล์: P ∝ 1/V (PV = ค่าคงที่) เมื่อ T คงที่ — ความดันเพิ่ม ปริมาตรลด
c3b7,เมื่อเพิ่มอุณหภูมิแก๊สที่ความดันคงที่ ปริมาตรจะเปลี่ยนอย่างไร (กฎของชาร์ลส์)?,เพิ่มขึ้น,ลดลง,คงที่,เป็นศูนย์,1,กฎของชาร์ลส์: V ∝ T (ที่ P คงที่) — อุณหภูมิเพิ่ม ปริมาตรเพิ่มเป็นสัดส่วนตรง
c3b7,ภาวะมาตรฐาน STP หมายถึงข้อใด?,"25°C, 1 atm","0°C, 1 atm","0°C, 2 atm","100°C, 1 atm",2,STP = อุณหภูมิ 0°C (273 K) และความดัน 1 atm
c3b7,แก๊ส 2 โมล ที่ STP มีปริมาตรเท่าใด?,22.4 L,33.6 L,44.8 L,11.2 L,3,1 โมล = 22.4 L → 2 โมล = 44.8 L
c3b7,แก๊สชนิดใดแพร่ได้เร็วที่สุด (กฎของเกรแฮม)?,H₂,O₂,N₂,CO₂,1,อัตราการแพร่แปรผกผันกับรากที่สองของมวลโมเลกุล — H₂ เบาที่สุด (M=2) จึงแพร่เร็วที่สุด
c3b7,กฎรวมแก๊ส (combined gas law) เขียนได้เป็นข้อใด?,P₁V₁ = P₂V₂,P₁V₁/T₁ = P₂V₂/T₂,V₁/T₁ = V₂/T₂,P₁/T₁ = P₂/T₂,2,กฎรวมแก๊สรวมกฎบอยล์ ชาร์ลส์ และเกย์-ลูสแซก เข้าด้วยกัน: P₁V₁/T₁ = P₂V₂/T₂ (T เป็นเคลวิน)
c3b7,กฎความดันย่อยของดาลตันกล่าวว่าอย่างไร?,ความดันรวม = ผลรวมของความดันย่อยของแก๊สแต่ละชนิด,ความดันรวม = ความดันย่อยที่มากที่สุด,ความดันรวม = ค่าเฉลี่ยความดันย่อย,ความดันไม่ขึ้นกับชนิดแก๊ส,1,กฎของดาลตัน: ความดันรวมของแก๊สผสม = ผลบวกของความดันย่อยที่แก๊สแต่ละชนิดจะออกแรงเมื่ออยู่ลำพังในภาชนะเดียวกัน
c3b7,ตามกฎของบอยล์ แก๊สที่ 2 atm ปริมาตร 3 ลิตร เมื่อลดความดันเป็น 1 atm (อุณหภูมิคงที่) ปริมาตรเป็นเท่าใด?,1.5 ลิตร,3 ลิตร,6 ลิตร,12 ลิตร,3,P₁V₁ = P₂V₂ → 2 × 3 = 1 × V₂ → V₂ = 6 ลิตร
c3b7,อุณหภูมิ −273 °C (ศูนย์สัมบูรณ์) มีค่าเท่าใดในหน่วยเคลวิน?,0 K,273 K,−273 K,546 K,1,ศูนย์สัมบูรณ์ (absolute zero) = 0 K = −273.15 °C เป็นอุณหภูมิต่ำที่สุดที่เป็นไปได้
